,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,Genre
205,0.607,0.514,4,-6.631,1,0.0323,0.363,0.0,0.258,0.414,75.978,4,Country
206,0.471,0.897,9,-2.27,1,0.0597,0.193,0.0,0.196,0.719,159.958,4,Country
207,0.464,0.813,10,-6.185,1,0.0416,0.0153,0.0,0.254,0.516,75.975,4,Country
208,0.725,0.437,6,-9.602,1,0.0575,0.593,0.0,0.0842,0.759,83.985,4,Country
209,0.607,0.536,10,-7.306,1,0.0305,0.386,0.0,0.102,0.434,147.986,4,Country
210,0.517,0.652,7,-6.153,1,0.0323,0.325,0.0,0.109,0.333,156.07,4,Country
211,0.506,0.886,11,-3.225,1,0.0655,0.0916,0.0,0.0734,0.595,143.935,4,Country
212,0.632,0.804,7,-6.109,1,0.0503,0.101,0.0,0.17,0.35,92.456,4,Country
213,0.611,0.8,0,-5.61,1,0.0377,0.257,0.0,0.194,0.527,89.974,4,Country
214,0.554,0.743,9,-6.016,1,0.0287,0.0251,0.0,0.359,0.673,72.997,4,Country
215,0.553,0.747,9,-5.432,1,0.0279,0.106,0.0,0.154,0.521,90.012,4,Country
216,0.535,0.777,4,-3.292,1,0.207,0.0187,1.62e-06,0.136,0.664,171.72,4,Country
217,0.348,0.87,4,-5.86,1,0.137,0.171,4.4e-06,0.202,0.763,83.392,4,Country
218,0.588,0.722,6,-4.667,1,0.0289,0.0663,0.0,0.0721,0.243,145.931,4,Country
219,0.434,0.831,8,-4.774,1,0.0453,0.0651,0.0,0.119,0.596,156.034,4,Country
220,0.764,0.587,5,-7.002,0,0.0298,0.0721,6.45e-06,0.094,0.494,89.98,4,Country
221,0.514,0.918,7,-4.306,1,0.0365,0.0409,0.0,0.342,0.64,150.033,4,Country
222,0.439,0.752,8,-4.143,1,0.0375,0.116,0.0,0.133,0.456,166.051,4,Country
223,0.547,0.672,11,-5.023,1,0.0496,0.304,0.0,0.0996,0.283,155.791,4,Country
224,0.638,0.722,9,-6.177,1,0.0332,0.0119,0.00808,0.189,0.469,103.017,4,Country
225,0.601,0.806,7,-4.579,1,0.0345,0.0527,0.0,0.185,0.711,89.87,4,Country
226,0.638,0.634,6,-6.474,1,0.0468,0.214,0.0,0.0866,0.473,92.097,4,Country
227,0.692,0.809,2,-5.935,1,0.0255,0.1,9.77e-05,0.185,0.927,104.023,4,Country
228,0.68,0.741,2,-5.055,1,0.0357,0.347,1.87e-06,0.117,0.635,127.024,4,Country
229,0.485,0.701,8,-3.807,1,0.0288,0.039,0.0,0.0977,0.613,151.948,4,Country
230,0.502,0.792,3,-5.473,0,0.0335,0.304,0.0385,0.143,0.44,155.902,4,Country
231,0.588,0.684,1,-5.154,1,0.0288,0.508,0.0,0.141,0.121,85.997,4,Country
232,0.355,0.48,11,-7.31,1,0.0282,0.679,2.28e-06,0.12,0.137,100.956,3,Country
233,0.575,0.845,10,-3.838,1,0.035,0.0282,0.0,0.0814,0.376,127.997,4,Country
234,0.567,0.913,5,-4.264,0,0.145,0.0621,0.0,0.0866,0.605,77.287,4,Country
235,0.635,0.758,7,-5.772,1,0.0243,0.00643,0.0,0.229,0.322,113.002,4,Country
236,0.705,0.606,7,-7.047,1,0.0243,0.159,0.00149,0.242,0.876,98.001,4,Country
237,0.536,0.65,2,-5.603,1,0.0337,0.282,1.16e-06,0.0876,0.288,147.93,4,Country
238,0.556,0.892,7,-2.841,1,0.0525,0.049,0.00053,0.0943,0.264,101.069,4,Country
239,0.481,0.849,4,-5.131,1,0.0385,0.00167,1.49e-06,0.121,0.723,205.57,4,Country
240,0.5,0.9,2,-3.577,1,0.117,0.205,0.000251,0.694,0.675,162.249,4,Country
241,0.569,0.638,7,-6.557,1,0.0291,0.000547,0.0,0.0848,0.438,144.042,4,Country
242,0.432,0.796,4,-2.952,0,0.049,0.486,0.0,0.355,0.563,183.935,4,Country
243,0.587,0.732,8,-3.851,1,0.0296,0.098,0.0,0.0917,0.453,97.031,4,Country
244,0.564,0.76,6,-5.667,1,0.0277,0.0676,0.0,0.144,0.528,134.015,4,Country
245,0.651,0.466,6,-9.403,1,0.0305,0.541,0.0027,0.116,0.326,86.953,4,Country
246,0.578,0.937,2,-5.685,1,0.0481,0.0294,0.0,0.122,0.479,102.98,4,Country
247,0.532,0.825,9,-5.287,1,0.0468,0.18,0.0,0.296,0.96,169.961,4,Country
248,0.664,0.825,2,-5.714,1,0.029,0.0459,0.0,0.0472,0.801,140.024,4,Country
249,0.709,0.643,5,-7.676,1,0.0274,0.126,0.0,0.256,0.515,119.99,4,Country
250,0.572,0.673,6,-5.565,1,0.042,0.0596,0.0,0.0887,0.573,106.024,4,Country
251,0.591,0.703,10,-6.211,1,0.0256,0.0435,2.34e-06,0.145,0.402,95.993,4,Country
252,0.679,0.728,5,-3.092,0,0.154,0.159,0.0,0.107,0.46,152.001,4,R&B
253,0.464,0.547,7,-8.137,0,0.339,0.0511,0.0,0.155,0.423,67.003,4,R&B
254,0.525,0.637,1,-4.717,1,0.0932,0.0289,0.0,0.0763,0.322,84.72,4,R&B
255,0.664,0.61,7,-6.432,0,0.339,0.145,0.0,0.097,0.472,76.024,4,R&B
256,0.62,0.613,0,-5.83,1,0.0795,0.0607,0.0,0.117,0.483,82.43,4,R&B
257,0.422,0.546,9,-8.155,0,0.249,0.844,0.0,0.108,0.385,74.741,4,R&B
